City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
96,Harnosand,62.6323,17.9379,39.22,72,100,8.12,SE,2022-05-02 00:23:30
97,Boguchany,58.3814,97.4531,33.55,78,100,9.73,RU,2022-05-02 00:23:31
98,Gualaquiza,-3.4,-78.55,63.57,96,78,1.34,EC,2022-05-02 00:23:32
99,Sitka,57.0531,-135.33,48.09,71,100,14.97,US,2022-05-02 00:23:33
100,La Palma,33.8464,-118.0467,79.66,65,0,9.22,US,2022-05-02 00:23:33
101,Sorong,-0.8833,131.25,82.2,79,87,7.27,ID,2022-05-02 00:23:34
102,Portland,45.5234,-122.6762,68.0,52,100,3.44,US,2022-05-02 00:23:35
103,Qaanaaq,77.484,-69.3632,7.12,72,19,6.17,GL,2022-05-02 00:23:36
104,Namibe,-15.1961,12.1522,73.94,68,50,8.63,AO,2022-05-02 00:23:36
105,Hilo,19.7297,-155.09,77.29,93,100,10.36,US,2022-05-02 00:18:44
106,Kulhudhuffushi,6.6221,73.07,84.97,75,89,13.85,MV,2022-05-02 00:23:38
107,Akdagmadeni,39.6603,35.8836,44.06,91,99,2.95,TR,2022-05-02 00:23:40
108,Margate,51.3813,1.3862,51.31,71,100,1.01,GB,2022-05-02 00:23:41
109,Abapo,-18.8333,-63.4667,70.68,62,79,3.65,BO,2022-05-02 00:23:42
110,Benghazi,32.1167,20.0667,65.98,78,34,14.2,LY,2022-05-02 00:23:43
111,Ikom,5.9667,8.7063,74.3,97,100,2.3,NG,2022-05-02 00:23:44
112,Tasiilaq,65.6145,-37.6368,19.81,57,88,4.92,GL,2022-05-02 00:23:44
113,Klaksvik,62.2266,-6.589,40.12,72,89,22.91,FO,2022-05-02 00:23:46
114,Ngerengere,-6.75,38.1167,69.57,93,38,2.64,TZ,2022-05-02 00:23:47
115,Clyde River,70.4692,-68.5914,8.83,85,100,12.66,CA,2022-05-02 00:23:48
116,Saint-Pierre,-21.3393,55.4781,74.88,70,0,5.75,RE,2022-05-02 00:23:49
117,Bethel,41.3712,-73.414,60.37,51,100,1.01,US,2022-05-02 00:19:44
118,Lexington,37.9887,-84.4777,72.72,37,0,9.22,US,2022-05-02 00:23:35
119,Sindon,17.0603,122.0151,80.24,70,89,2.15,PH,2022-05-02 00:23:50
120,Port Blair,11.6667,92.75,78.84,94,75,2.3,IN,2022-05-02 00:23:51
121,Igrim,63.1906,64.4162,26.2,97,100,4.45,RU,2022-05-02 00:23:52
122,Presidencia Roque Saenz Pena,-26.7852,-60.4388,59.95,95,99,6.31,AR,2022-05-02 00:23:53
123,La Roda,39.2167,-2.15,55.99,62,40,10.42,ES,2022-05-02 00:23:53
124,Vao,-22.6667,167.4833,75.6,87,42,19.75,NC,2022-05-02 00:23:54
125,Chokurdakh,70.6333,147.9167,28.54,91,61,10.25,RU,2022-05-02 00:23:55
126,Shieli,44.1667,66.75,67.03,44,94,7.52,KZ,2022-05-02 00:23:56
127,Arraial Do Cabo,-22.9661,-42.0278,76.6,80,7,11.79,BR,2022-05-02 00:22:15
128,Tuktoyaktuk,69.4541,-133.0374,37.4,75,75,11.5,CA,2022-05-02 00:23:58
129,Jiazi,22.8779,116.067,63.19,92,100,11.74,CN,2022-05-02 00:24:00
130,Mahebourg,-20.4081,57.7,73.26,94,20,1.14,MU,2022-05-02 00:24:01
131,Anshun,26.25,105.9333,48.99,79,100,10.04,CN,2022-05-02 00:24:02
132,Severo-Kurilsk,50.6789,156.125,35.98,86,77,9.06,RU,2022-05-02 00:24:03
133,Ginir,7.1333,40.7,56.89,84,93,3.22,ET,2022-05-02 00:24:03
134,Dali,25.7,100.1833,48.27,90,100,5.1,CN,2022-05-02 00:25:05
135,Katsuura,35.1333,140.3,57.45,64,100,12.03,JP,2022-05-02 00:22:24
136,Cayenne,4.9333,-52.3333,81.09,1,20,7.0,GF,2022-05-02 00:25:07
137,Tiksi,71.6872,128.8694,16.92,84,95,10.38,RU,2022-05-02 00:21:04
138,Kerman,30.2832,57.0788,57.06,41,0,6.91,IR,2022-05-02 00:25:09
139,Zlutice,50.0919,13.163,50.14,85,52,3.69,CZ,2022-05-02 00:25:10
140,Mahanoro,-19.9,48.8,72.21,94,67,5.82,MG,2022-05-02 00:25:11
141,Tautira,-17.7333,-149.15,79.52,74,37,7.65,PF,2022-05-02 00:25:12
142,Alugan,12.2188,125.4808,82.4,74,98,7.36,PH,2022-05-02 00:25:13
143,Ribeira Grande,38.5167,-28.7,62.44,83,21,3.15,PT,2022-05-02 00:25:15
144,Tuy Hoa,13.0833,109.3,78.57,90,100,4.21,VN,2022-05-02 00:25:13
145,Kununurra,-15.7667,128.7333,85.98,39,25,16.11,AU,2022-05-02 00:25:17
146,Tessalit,20.1986,1.0114,76.1,16,16,8.84,ML,2022-05-02 00:25:18
147,Zhangjiakou,40.81,114.8794,58.03,39,37,2.21,CN,2022-05-02 00:25:19
148,Mehamn,71.0357,27.8492,25.25,79,88,11.39,NO,2022-05-02 00:25:20
149,Inongo,-1.95,18.2667,71.24,95,86,3.87,CD,2022-05-02 00:25:21
150,Lamar,33.6668,-95.5836,76.91,44,0,8.05,US,2022-05-02 00:25:22
151,Beringovskiy,63.05,179.3167,18.88,76,64,15.61,RU,2022-05-02 00:25:23
152,Port Antonio,18.18,-76.4612,82.31,86,100,8.21,JM,2022-05-02 00:22:18
153,Enugu,6.4402,7.4943,76.26,81,100,4.76,NG,2022-05-02 00:25:25
154,Saint-Georges,12.0564,-61.7485,80.28,78,20,11.5,GD,2022-05-02 00:23:46
155,Puerto Ayora,-0.7393,-90.3518,73.26,86,50,5.55,EC,2022-05-02 00:25:27
156,Yaan,7.3833,8.5667,78.58,72,99,4.85,NG,2022-05-02 00:25:28
157,Harper,4.375,-7.7169,80.76,81,46,7.56,LR,2022-05-02 00:25:29
158,Codrington,-38.2667,141.9667,64.09,66,100,12.1,AU,2022-05-02 00:25:09
159,Lagoa,39.05,-27.9833,60.98,82,9,2.57,PT,2022-05-02 00:25:30
160,Najran,17.4924,44.1277,74.05,31,3,2.1,SA,2022-05-02 00:25:32
161,Sosnovo-Ozerskoye,52.5249,111.5418,53.71,50,100,12.12,RU,2022-05-02 00:25:33
162,Saint-Philippe,-21.3585,55.7679,74.79,84,2,2.91,RE,2022-05-02 00:25:34
163,Geraldton,-28.7667,114.6,55.81,82,0,3.44,AU,2022-05-02 00:23:37
164,Dikson,73.5069,80.5464,8.1,95,100,10.92,RU,2022-05-02 00:25:35
165,Bulaevo,54.9056,70.4439,37.54,95,100,6.4,KZ,2022-05-02 00:25:36
166,Ambovombe,-25.1667,46.0833,67.41,85,13,5.84,MG,2022-05-02 00:25:37
167,Etchojoa,26.9167,-109.6333,88.27,39,3,13.65,MX,2022-05-02 00:25:38
168,Victoria,22.2855,114.1577,63.25,92,100,5.99,HK,2022-05-02 00:21:03
169,Bangui,4.3612,18.555,71.73,85,89,3.83,CF,2022-05-02 00:25:39
170,Mitsamiouli,-11.3847,43.2844,80.8,72,11,14.03,KM,2022-05-02 00:25:40
171,Kodiak,57.79,-152.4072,45.91,71,100,16.11,US,2022-05-02 00:22:21
172,Quang Ngai,15.1167,108.8,72.27,97,100,6.15,VN,2022-05-02 00:25:42
173,Upernavik,72.7868,-56.1549,0.75,88,50,3.22,GL,2022-05-02 00:25:43
174,Saldanha,-33.0117,17.9442,55.45,75,5,7.56,ZA,2022-05-02 00:25:44
175,Nome,64.5011,-165.4064,44.67,57,0,23.02,US,2022-05-02 00:25:45
176,Cockburn Town,21.4612,-71.1419,75.16,83,75,8.05,TC,2022-05-02 00:25:46
177,Los Llanos De Aridane,28.6585,-17.9182,62.35,74,0,17.27,ES,2022-05-02 00:25:19
178,Zeya,53.75,127.2667,44.56,38,100,7.43,RU,2022-05-02 00:26:47
179,Salinopolis,-0.6136,-47.3561,77.31,89,82,5.97,BR,2022-05-02 00:26:48
180,Paysandu,-32.3214,-58.0756,52.88,76,18,8.21,UY,2022-05-02 00:26:51
181,Poyarkovo,49.6,128.6833,49.19,45,90,8.12,RU,2022-05-02 00:26:52
182,Manokwari,-0.8667,134.0833,79.56,81,100,2.01,ID,2022-05-02 00:26:53
183,La Rioja,42.25,-2.5,42.58,82,80,3.38,ES,2022-05-02 00:26:54
184,Talcahuano,-36.7167,-73.1167,55.08,82,0,9.22,CL,2022-05-02 00:26:55
185,Vestmannaeyjar,63.4427,-20.2734,44.92,59,100,1.7,IS,2022-05-02 00:26:55
186,Evensk,61.95,159.2333,30.06,76,30,2.33,RU,2022-05-02 00:26:56
187,Muros,42.7762,-9.0603,51.55,86,29,5.26,ES,2022-05-02 00:23:39
188,Gornopravdinsk,60.05,69.9,33.12,75,97,4.94,RU,2022-05-02 00:26:59
189,Pudozh,61.8099,36.5345,27.97,91,99,5.03,RU,2022-05-02 00:27:01
190,Ketchikan,55.3422,-131.6461,45.07,93,100,12.66,US,2022-05-02 00:27:02
191,Torbay,47.6666,-52.7314,43.57,90,75,3.44,CA,2022-05-02 00:27:03
192,Oistins,13.0667,-59.5333,79.52,75,44,14.61,BB,2022-05-02 00:27:05
193,Norman Wells,65.282,-126.8329,53.64,37,40,20.71,CA,2022-05-02 00:27:06
194,Gigmoto,13.7796,124.39,82.89,70,80,4.92,PH,2022-05-02 00:27:07
195,Batagay-Alyta,67.8006,130.4114,20.17,93,100,6.73,RU,2022-05-02 00:27:08
196,Saint-Esteve,42.7131,2.843,62.71,54,0,6.91,FR,2022-05-02 00:27:10
197,Kisangani,0.5167,25.2,69.51,99,93,2.28,CD,2022-05-02 00:27:11
198,Khatanga,71.9667,102.5,16.23,87,82,10.54,RU,2022-05-02 00:27:12
199,Nepa Nagar,21.4667,76.4,88.2,35,43,7.27,IN,2022-05-02 00:27:13
200,Tura,25.5198,90.2201,69.66,95,98,4.52,IN,2022-05-02 00:27:14
201,Sobolevo,54.4299,31.8996,39.36,81,92,4.76,RU,2022-05-02 00:27:16
202,Biak,-0.9131,122.8766,80.49,77,47,5.3,ID,2022-05-02 00:27:16
203,Yanam,16.7333,82.2167,78.4,97,43,1.41,IN,2022-05-02 00:27:18
204,Spring Valley,36.108,-115.245,81.79,13,20,31.07,US,2022-05-02 00:27:19
205,Kapoeta,4.7717,33.5903,75.18,75,88,5.28,SS,2022-05-02 00:27:20
206,Saint George,37.1041,-113.5841,74.62,15,0,27.63,US,2022-05-02 00:25:48
207,Amantea,39.1332,16.0746,60.15,66,37,1.54,IT,2022-05-02 00:27:22
208,Sawtell,-30.3833,153.1,71.62,64,75,11.5,AU,2022-05-02 00:27:23
209,Rabo De Peixe,37.8,-25.5833,65.28,74,75,3.44,PT,2022-05-02 00:27:24
210,Keningau,5.3378,116.1602,77.14,88,70,1.43,MY,2022-05-02 00:27:25
211,Pochutla,15.7432,-96.4661,84.02,55,93,5.86,MX,2022-05-02 00:27:26
212,Hun,29.1268,15.9477,62.6,56,0,20.89,LY,2022-05-02 00:27:27
213,San Patricio,28.017,-97.5169,83.53,74,88,17.63,US,2022-05-02 00:27:28
214,Bama,11.5221,13.6856,94.12,23,97,4.47,NG,2022-05-02 00:27:29
215,Fare,-16.7,-151.0167,80.96,72,7,9.24,PF,2022-05-02 00:27:30
216,Verishen,39.5356,46.3122,42.17,89,95,0.81,AM,2022-05-02 00:27:31
217,Uravakonda,14.95,77.2667,79.56,66,42,12.06,IN,2022-05-02 00:27:32
218,Port Lincoln,-34.7333,135.8667,62.24,77,0,11.45,AU,2022-05-02 00:27:33
219,Jalu,29.0331,21.5482,77.99,34,99,23.69,LY,2022-05-02 00:27:34
220,Faanui,-16.4833,-151.75,81.21,72,18,9.42,PF,2022-05-02 00:27:35
221,Camacha,33.0833,-16.3333,60.22,77,40,10.36,PT,2022-05-02 00:27:37
222,Broome,42.2506,-75.833,57.07,64,100,11.5,US,2022-05-02 00:27:38
223,Linden,6.0,-58.3,74.34,88,93,3.58,GY,2022-05-02 00:24:27
224,Nuuk,64.1835,-51.7216,29.01,80,75,9.22,GL,2022-05-02 00:28:40
225,Tripoli,32.8752,13.1875,62.38,77,6,14.34,LY,2022-05-02 00:28:41
226,Greenville,35.6127,-77.3663,76.95,61,0,8.05,US,2022-05-02 00:28:12
227,Balclutha,-46.2339,169.75,60.58,65,18,5.03,NZ,2022-05-02 00:28:42
228,Brooks,50.5834,-111.8851,60.78,36,98,13.8,CA,2022-05-02 00:25:21
229,Houma,29.5958,-90.7195,78.01,89,40,4.61,US,2022-05-02 00:28:44
230,Broken Hill,-31.95,141.4333,60.51,63,0,8.05,AU,2022-05-02 00:26:38
231,Gravdal,68.1214,13.5031,36.01,83,95,19.1,NO,2022-05-02 00:28:47
232,Lompoc,34.6391,-120.4579,71.85,68,0,28.99,US,2022-05-02 00:28:47
233,Vila Velha,-20.3297,-40.2925,78.75,78,0,11.99,BR,2022-05-02 00:28:48
234,Kapaa,22.0752,-159.319,85.98,79,75,18.41,US,2022-05-02 00:28:49
235,Witbank,-25.8713,29.2332,51.04,69,0,3.89,ZA,2022-05-02 00:28:51
236,Vanimo,-2.6741,141.3028,80.08,88,98,7.85,PG,2022-05-02 00:28:52
237,Nosy Varika,-20.5833,48.5333,71.38,92,45,7.83,MG,2022-05-02 00:28:53
238,Poum,-20.2333,164.0167,78.87,77,10,2.57,NC,2022-05-02 00:28:54
239,Vanavara,60.34,102.2797,29.75,62,46,6.87,RU,2022-05-02 00:28:55
240,Nyagan,62.1406,65.3936,29.08,96,100,11.63,RU,2022-05-02 00:28:56
241,Sao Miguel Do Araguaia,-13.275,-50.1628,76.3,55,14,1.39,BR,2022-05-02 00:28:58
242,Hovd,48.0056,91.6419,52.86,20,68,8.48,MN,2022-05-02 00:28:59
243,Itarema,-2.9248,-39.9167,79.39,83,45,12.19,BR,2022-05-02 00:29:00
244,Mayo,38.8876,-76.5119,58.95,91,75,4.61,US,2022-05-02 00:29:01
