City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
606,Arlit,NE,95.52,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
613,Bama,NG,92.21,broken clouds,11.5221,13.6856,UN Humanitarian Hub
619,Ilheus,BR,84.02,few clouds,-14.7889,-39.0494,Barravento Hotel
620,Tucuma,BR,81.91,light rain,-0.1833,-50.05,
621,Mitu,CO,80.04,overcast clouds,1.1983,-70.1733,
629,Rio Branco,BR,86.61,few clouds,-9.9747,-67.81,Hotel Guapindaia Bosque
633,Tabas,IR,80.82,overcast clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
634,Kheralu,IN,84.13,clear sky,23.8833,72.6167,Gopal lodg
653,Tingo Maria,PE,88.11,few clouds,-9.2895,-76.0088,Hospedaje Paraíso
655,Hermosillo,MX,98.69,clear sky,29.0667,-110.9667,ibis Hermosillo
659,Bom Jesus,BR,93.4,clear sky,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
660,Hala,PK,87.78,clear sky,25.8131,68.4227,أنصاري ديكوريشن إستاف
666,Corrales,US,92.39,"sand,dust whirls",35.2378,-106.6067,Quality Inn
667,Adre,TD,84.24,overcast clouds,13.4667,22.2,
673,Fare,PF,81.3,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
676,Barinas,VE,81.54,broken clouds,8.6226,-70.2075,Hotel Mastranto Suite
680,Champerico,GT,95.54,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
684,Kirakira,SB,80.83,broken clouds,-10.4544,161.9205,SanBiz Lodge
687,Nagod,IN,88.3,clear sky,24.5667,80.6,Aman kirna stor
690,Manacapuru,BR,81.37,overcast clouds,-3.2997,-60.6206,Novo Hotel
691,Jacqueville,CI,82.83,broken clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
